datetime;open;high;low;close
2021-05-16;46716.63672;49720.04297;43963.35156;46456.05859
2021-05-15;49855.49609;50639.66406;46664.14062;46760.18750
2021-05-14;49682.98047;51438.11719;48868.57812;49880.53516
2021-05-13;49735.43359;51330.84375;46980.01953;49716.19141
2021-05-12;56714.53125;57939.36328;49150.53516;49150.53516
2021-05-11;55847.24219;56872.54297;54608.65234;56704.57422
2021-05-10;58250.87109;59519.35547;54071.45703;55859.79688
2021-05-09;58877.39062;59210.88281;56482.00391;58232.31641
2021-05-08;57352.76562;59464.61328;56975.21094;58803.77734
2021-05-07;56413.95312;58606.63281;55321.84766;57356.40234
2021-05-06;57441.30859;58363.31641;55382.50781;56396.51562
2021-05-05;53252.16406;57911.36328;52969.05469;57424.00781
2021-05-04;57214.17969;57214.17969;53191.42578;53333.53906
2021-05-03;56620.27344;58973.30859;56590.87109;57200.29297
2021-05-02;57825.86328;57902.59375;56141.90625;56631.07812
2021-05-01;57714.66406;58448.33984;57052.27344;57828.05078
2021-04-30;53568.66406;57900.71875;53129.60156;57750.17578
2021-04-29;54858.08984;55115.84375;52418.02734;53555.10938
2021-04-28;55036.63672;56227.20703;53887.91797;54824.70312
2021-04-27;54030.30469;55416.96484;53319.18750;55033.11719
2021-04-26;49077.79297;54288.00391;48852.79688;54021.75391
2021-04-25;50052.83203;50506.01953;47159.48438;49004.25391
2021-04-24;51143.22656;51167.56250;48805.28516;50050.86719
2021-04-23;51739.80859;52120.79297;47714.66406;51093.65234
2021-04-22;53857.10547;55410.23047;50583.81250;51762.27344
2021-04-21;56471.12891;56757.97266;53695.46875;53906.08984
2021-04-20;55681.79297;57062.14844;53448.04688;56473.03125
2021-04-19;56191.58594;57520.05469;54368.59375;55724.26562
2021-04-18;60701.88672;61057.45703;52829.53516;56216.18359
2021-04-17;61529.92188;62572.17578;60361.35156;60683.82031
2021-04-16;63258.50391;63594.72266;60222.53125;61572.78906
2021-04-15;63075.19531;63821.67188;62208.96484;63314.01172
2021-04-14;63523.75391;64863.09766;61554.79688;63109.69531
2021-04-13;59890.01953;63742.28516;59869.95703;63503.45703
2021-04-12;60175.94531;61253.03516;59589.87500;59893.45312
2021-04-11;59846.23047;60790.55469;59289.79688;60204.96484
2021-04-10;58253.77734;61276.66406;58038.70703;59793.23438
2021-04-09;58326.56250;58937.04688;57807.86328;58245.00391
2021-04-08;56099.91406;58338.73828;55879.08594;58323.95312
2021-04-07;58186.50781;58731.14453;55604.02344;56048.93750
2021-04-06;59171.93359;59479.57812;57646.80859;58192.35938
2021-04-05;58760.87500;59891.29688;57694.82422;59057.87891
2021-04-04;57604.83984;58913.74609;57168.67578;58758.55469
2021-04-03;59397.41016;60110.26953;57603.89062;57603.89062
2021-04-02;59098.87891;60267.18750;58869.28125;59384.31250
2021-04-01;58926.56250;59586.07031;58505.27734;59095.80859
2021-03-31;58930.27734;59930.02734;57726.41797;58918.83203
2021-03-30;57750.13281;59447.22266;57251.55078;58917.69141
2021-03-29;55947.89844;58342.09766;55139.33984;57750.19922
2021-03-28;55974.94141;56610.31250;55071.11328;55950.74609
2021-03-27;55137.56641;56568.21484;54242.91016;55973.51172
2021-03-26;51683.01172;55137.31250;51579.85547;55137.31250
2021-03-25;52726.74609;53392.38672;50856.57031;51704.16016
2021-03-24;54710.48828;57262.38281;52514.33203;52774.26562
